model,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,train_roc_auc,test_roc_auc,roc_auc_gap,f1_gap
Logistic Regression Baseline,0.9266059325122076,0.9261047267554063,0.6047948955525606,0.6029727567476525,0.8175723760995189,0.8152576145744378,0.6952685282690003,0.6932274773684465,0.9069867847726059,0.905576701064772,0.001410083707833909,0.0020410509005538424
Random Forest,0.937395233583558,0.9370718254592947,0.6577111439659952,0.6568900009266981,0.8104699820660992,0.8071164247082265,0.7261435658084344,0.724295603749968,0.9070885755802863,0.9056158279950811,0.001472747585205214,0.0018479620584663792
